dia,grado,bloque,materia,docente,aula
Lunes,10°3,1,Dirección de Grupo,,Aula 10°3
Lunes,10°3,2,Lengua Castellana,María Camila Restrepo Henao,Aula 10°3
Lunes,10°3,3,Informática,Sebastián Morales Castro,Sala de Sistemas
Lunes,10°3,4,Física,Diego Fernando Ramírez Zapata,Aula 10°3
Lunes,10°3,5,Ciencias Económicas y Políticas,Óscar Iván Torres Monsalve,Aula 10°3
Lunes,10°3,6,Inglés,Natalia Andrea Gaviria Rivera,Aula 10°3
Lunes,11°3,1,Dirección de Grupo,,Aula 11°3
Lunes,11°3,2,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 11°3
Lunes,11°3,3,Geometría,Ana María Betancur Escobar,Aula 11°3
Lunes,11°3,4,Ciencias Económicas y Políticas,Óscar Iván Torres Monsalve,Aula 11°3
Lunes,11°3,5,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Lunes,11°3,6,Filosofía,Carlos Alberto Mendoza Jaramillo,Aula 11°3
Lunes,6°4,1,Dirección de Grupo,,Aula 6°4
Lunes,6°4,2,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Lunes,6°4,3,Matemáticas,Juan Pablo Pérez Gómez,Aula 6°4
Lunes,6°4,4,Filosofía,Carlos Alberto Mendoza Jaramillo,Aula 6°4
Lunes,6°4,5,Sociales,Jorge Enrique Betancur Londoño,Aula 6°4
Lunes,6°4,6,Física,Diego Fernando Ramírez Zapata,Aula 6°4
Lunes,7°4,1,Dirección de Grupo,,Aula 7°4
Lunes,7°4,2,Ética,Gloria Isabel Puerta Rendón,Aula 7°4
Lunes,7°4,3,Sociales,Jorge Enrique Betancur Londoño,Aula 7°4
Lunes,7°4,4,Cátedra de la Paz,Laura Ximena Vargas Zuleta,Aula 7°4
Lunes,7°4,5,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 7°4
Lunes,7°4,6,Matemáticas,Germán Antonio Ospina Muñoz,Aula 7°4
Lunes,8°4,1,Dirección de Grupo,,Aula 8°4
Lunes,8°4,2,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 8°4
Lunes,8°4,3,Filosofía,Carlos Alberto Mendoza Jaramillo,Aula 8°4
Lunes,8°4,4,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Lunes,8°4,5,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 8°4
Lunes,8°4,6,Artística,Paula Andrea Ruiz Cardona,Aula 8°4
Lunes,9°3,1,Dirección de Grupo,,Aula 9°3
Lunes,9°3,2,Religión,Sandra Milena Arboleda Ruiz,Aula 9°3
Lunes,9°3,3,Artística,Paula Andrea Ruiz Cardona,Aula 9°3
Lunes,9°3,4,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 9°3
Lunes,9°3,5,Filosofía,Carlos Alberto Mendoza Jaramillo,Aula 9°3
Lunes,9°3,6,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 9°3
Martes,10°3,1,Matemáticas,Juan Pablo Pérez Gómez,Aula 10°3
Martes,10°3,2,Matemáticas,Juan Pablo Pérez Gómez,Aula 10°3
Martes,10°3,3,Lengua Castellana,María Camila Restrepo Henao,Aula 10°3
Martes,10°3,4,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 10°3
Martes,10°3,5,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 10°3
Martes,10°3,6,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 10°3
Martes,11°3,1,Inglés,Natalia Andrea Gaviria Rivera,Aula 11°3
Martes,11°3,2,Sociales,Jorge Enrique Betancur Londoño,Aula 11°3
Martes,11°3,3,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 11°3
Martes,11°3,4,Lengua Castellana,María Camila Restrepo Henao,Aula 11°3
Martes,11°3,5,Matemáticas,Juan Pablo Pérez Gómez,Aula 11°3
Martes,11°3,6,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 11°3
Martes,6°4,1,Matemáticas,Germán Antonio Ospina Muñoz,Aula 6°4
Martes,6°4,2,Lengua Castellana,María Camila Restrepo Henao,Aula 6°4
Martes,6°4,3,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 6°4
Martes,6°4,4,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 6°4
Martes,6°4,5,Inglés,Andrés Felipe Giraldo Duque,Aula 6°4
Martes,6°4,6,Matemáticas,Germán Antonio Ospina Muñoz,Aula 6°4
Martes,7°4,1,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 7°4
Martes,7°4,2,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Martes,7°4,3,Inglés,Natalia Andrea Gaviria Rivera,Aula 7°4
Martes,7°4,4,Matemáticas,Juan Pablo Pérez Gómez,Aula 7°4
Martes,7°4,5,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 7°4
Martes,7°4,6,Inglés,Natalia Andrea Gaviria Rivera,Aula 7°4
Martes,8°4,1,Inglés,Andrés Felipe Giraldo Duque,Aula 8°4
Martes,8°4,2,Informática,Sebastián Morales Castro,Sala de Sistemas
Martes,8°4,3,Matemáticas,Germán Antonio Ospina Muñoz,Aula 8°4
Martes,8°4,4,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 8°4
Martes,8°4,5,Lengua Castellana,María Camila Restrepo Henao,Aula 8°4
Martes,8°4,6,Matemáticas,Juan Pablo Pérez Gómez,Aula 8°4
Martes,9°3,1,Lengua Castellana,María Camila Restrepo Henao,Aula 9°3
Martes,9°3,2,Matemáticas,Germán Antonio Ospina Muñoz,Aula 9°3
Martes,9°3,3,Informática,Sebastián Morales Castro,Sala de Sistemas
Martes,9°3,4,Inglés,Natalia Andrea Gaviria Rivera,Aula 9°3
Martes,9°3,5,Matemáticas,Germán Antonio Ospina Muñoz,Aula 9°3
Martes,9°3,6,Lengua Castellana,María Camila Restrepo Henao,Aula 9°3
Miércoles,10°3,1,Informática,Sebastián Morales Castro,Sala de Sistemas
Miércoles,10°3,2,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Miércoles,10°3,3,Inglés,Andrés Felipe Giraldo Duque,Aula 10°3
Miércoles,10°3,4,Sociales,Carlos Alberto Mendoza Jaramillo,Aula 10°3
Miércoles,10°3,5,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 10°3
Miércoles,10°3,6,Matemáticas,Juan Pablo Pérez Gómez,Aula 10°3
Miércoles,11°3,1,Cátedra de la Paz,Laura Ximena Vargas Zuleta,Aula 11°3
Miércoles,11°3,2,Informática,Sebastián Morales Castro,Sala de Sistemas
Miércoles,11°3,3,Lengua Castellana,María Camila Restrepo Henao,Aula 11°3
Miércoles,11°3,4,Química,Diana Carolina Valencia Morales,Laboratorio de Ciencias
Miércoles,11°3,5,Artística,Natalia Andrea Gaviria Rivera,Aula 11°3
Miércoles,11°3,6,Matemáticas,Germán Antonio Ospina Muñoz,Aula 11°3
Miércoles,6°4,1,Religión,Héctor Mauricio Londoño Zuluaga,Aula 6°4
Miércoles,6°4,2,Sociales,Carlos Alberto Mendoza Jaramillo,Aula 6°4
Miércoles,6°4,3,Educación Física,Ricardo Alberto Salazar Jaramillo,Cancha Polideportiva
Miércoles,6°4,4,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 6°4
Miércoles,6°4,5,Ciencias Naturales (Biología),Diana Carolina Valencia Morales,Aula 6°4
Miércoles,6°4,6,Informática,Sebastián Morales Castro,Sala de Sistemas
Miércoles,7°4,1,Lengua Castellana,María Camila Restrepo Henao,Aula 7°4
Miércoles,7°4,2,Química,Diana Carolina Valencia Morales,Laboratorio de Ciencias
Miércoles,7°4,3,Filosofía,Carlos Alberto Mendoza Jaramillo,Aula 7°4
Miércoles,7°4,4,Matemáticas,Germán Antonio Ospina Muñoz,Aula 7°4
Miércoles,7°4,5,Ciencias Económicas y Políticas,Óscar Iván Torres Monsalve,Aula 7°4
Miércoles,7°4,6,Geometría,Ana María Betancur Escobar,Aula 7°4
Miércoles,8°4,1,Geometría,Ana María Betancur Escobar,Aula 8°4
Miércoles,8°4,2,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 8°4
Miércoles,8°4,3,Ciencias Económicas y Políticas,Óscar Iván Torres Monsalve,Aula 8°4
Miércoles,8°4,4,Informática,Sebastián Morales Castro,Sala de Sistemas
Miércoles,8°4,5,Sociales,Jorge Enrique Betancur Londoño,Aula 8°4
Miércoles,8°4,6,Religión,Héctor Mauricio Londoño Zuluaga,Aula 8°4
Miércoles,9°3,1,Matemáticas,Juan Pablo Pérez Gómez,Aula 9°3
Miércoles,9°3,2,Sociales,Jorge Enrique Betancur Londoño,Aula 9°3
Miércoles,9°3,3,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 9°3
Miércoles,9°3,4,Ciencias Naturales (Biología),Lorena María Osorio Arboleda,Aula 9°3
Miércoles,9°3,5,Inglés,Andrés Felipe Giraldo Duque,Aula 9°3
Miércoles,9°3,6,Cátedra de la Paz,Laura Ximena Vargas Zuleta,Aula 9°3
Jueves,10°3,1,Cátedra de la Paz,Laura Ximena Vargas Zuleta,Aula 10°3
Jueves,10°3,2,Lengua Castellana,María Camila Restrepo Henao,Aula 10°3
Jueves,10°3,3,Filosofía,Carlos Alberto Mendoza Jaramillo,Aula 10°3
Jueves,10°3,4,Religión,Héctor Mauricio Londoño Zuluaga,Aula 10°3
Jueves,10°3,5,Artística,Natalia Andrea Gaviria Rivera,Aula 10°3
Jueves,10°3,6,Ética,Gloria Isabel Puerta Rendón,Aula 10°3
Jueves,11°3,1,Informática,Sebastián Morales Castro,Sala de Sistemas
Jueves,11°3,2,Matemáticas,Juan Pablo Pérez Gómez,Aula 11°3
Jueves,11°3,3,Inglés,Natalia Andrea Gaviria Rivera,Aula 11°3
Jueves,11°3,4,Religión,Sandra Milena Arboleda Ruiz,Aula 11°3
Jueves,11°3,5,Física,Diego Fernando Ramírez Zapata,Aula 11°3
Jueves,11°3,6,Ética,Yenny Carolina Molina Giraldo,Aula 11°3
Jueves,6°4,1,Química,Diana Carolina Valencia Morales,Laboratorio de Ciencias
Jueves,6°4,2,Lengua Castellana,Yenny Carolina Molina Giraldo,Aula 6°4
